Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
Caught Up in You,.38 Special,1982,Caught Up in You by .38 Special,1,1,82,82
Fantasy Girl,.38 Special,,Fantasy Girl by .38 Special,1,0,3,0
Hold On Loosely,.38 Special,1981,Hold On Loosely by .38 Special,1,1,85,85
Rockin' Into the Night,.38 Special,1980,Rockin' Into the Night by .38 Special,1,1,18,18
Art For Arts Sake,10cc,1975,Art For Arts Sake by 10cc,1,1,1,1
Kryptonite,3 Doors Down,2000,Kryptonite by 3 Doors Down,1,1,13,13
Loser,3 Doors Down,2000,Loser by 3 Doors Down,1,1,1,1
When I'm Gone,3 Doors Down,2002,When I'm Gone by 3 Doors Down,1,1,6,6
What's Up?,4 Non Blondes,1992,What's Up? by 4 Non Blondes,1,1,3,3
Take On Me,a-ha,1985,Take On Me by a-ha,1,1,1,1
"Baby Please Don't Go",AC/DC,,"Baby Please Don't Go by AC/DC",1,0,1,0
Back In Black,AC/DC,1980,Back In Black by AC/DC,1,1,97,97
Big Gun,AC/DC,1993,Big Gun by AC/DC,1,1,6,6
CAN'T STOP ROCK'N'ROLL,AC/DC,,CAN'T STOP ROCK'N'ROLL by AC/DC,1,0,5,0
Dirty Deeds Done Dirt Cheap,AC/DC,1976,Dirty Deeds Done Dirt Cheap by AC/DC,1,1,85,85
For Those About To Rock,AC/DC,1981,For Those About To Rock by AC/DC,1,1,46,46
Girls Got Rhythm,AC/DC,,Girls Got Rhythm by AC/DC,1,0,24,0
Hard As A Rock,AC/DC,1995,Hard As A Rock by AC/DC,1,1,1,1
Have a Drink On Me,AC/DC,1980,Have a Drink On Me by AC/DC,1,1,39,39
Hells Bells,AC/DC,1980,Hells Bells by AC/DC,1,1,74,74
Highway To Hell,AC/DC,1979,Highway To Hell by AC/DC,1,1,92,92
It's A Long Way To The Top,AC/DC,1975,It's A Long Way To The Top by AC/DC,1,1,39,39
Jailbreak,AC/DC,1984,Jailbreak by AC/DC,1,1,1,1
Let There Be Rock,AC/DC,1977,Let There Be Rock by AC/DC,1,1,3,3
Let's Get It Up,AC/DC,,Let's Get It Up by AC/DC,1,0,4,0
Live Wire,AC/DC,,Live Wire by AC/DC,1,0,2,0
Moneytalks,AC/DC,,Moneytalks by AC/DC,1,0,20,0
Night Prowler,AC/DC,1979,Night Prowler by AC/DC,1,1,1,1
Rock and Roll Ain't Noise Pollution,AC/DC,1980,Rock and Roll Ain't Noise Pollution by AC/DC,1,1,21,21
Shoot To Thrill,AC/DC,,Shoot To Thrill by AC/DC,1,0,45,0
Shot Down In Flames,AC/DC,1979,Shot Down In Flames by AC/DC,1,1,2,2
Sin City,AC/DC,,Sin City by AC/DC,1,0,1,0
T.N.T.,AC/DC,1975,T.N.T. by AC/DC,1,1,66,66
Thunderstruck,AC/DC,1990,Thunderstruck by AC/DC,1,1,34,34
Touch Too Much,AC/DC,1979,Touch Too Much by AC/DC,1,1,2,2
What Do You Do For Money Honey,AC/DC,,What Do You Do For Money Honey by AC/DC,1,0,2,0
Who Made Who,AC/DC,1986,Who Made Who by AC/DC,1,1,12,12
Whole Lotta Rosie,AC/DC,1977,Whole Lotta Rosie by AC/DC,1,1,3,3
You Shook Me All Night Long,AC/DC,1980,You Shook Me All Night Long by AC/DC,1,1,138,138
How Long,Ace,1974,How Long by Ace,1,1,1,1
Dog On A Leash,Adelitas Way,2014,Dog On A Leash by Adelitas Way,1,1,4,4
Angel,Aerosmith,1987,Angel by Aerosmith,1,1,12,12
"Baby Please Don't Go",Aerosmith,,"Baby Please Don't Go by Aerosmith",1,0,1,0
Back in the Saddle,Aerosmith,1976,Back in the Saddle by Aerosmith,1,1,39,39
Big Ten Inch,Aerosmith,1975,Big Ten Inch by Aerosmith,1,1,3,3
Come Together,Aerosmith,,Come Together by Aerosmith,1,0,65,0
Crazy,Aerosmith,1993,Crazy by Aerosmith,1,1,7,7
Cryin',Aerosmith,1993,Cryin' by Aerosmith,1,1,15,15
Draw The Line,Aerosmith,1977,Draw The Line by Aerosmith,1,1,1,1
